im, I'm
dont, don't
didnt, didn't
havent, haven't
doesnt, doesn't
wasnt, wasn't
hasnt, hasn't
cant, can't
isnt, isn't
aint, ain't
itll, it'll
weve, we've
arent, aren't
youre, you're
howd, how'd
shouldnt, shouldn't
couldnt, couldn't
wouldnt, wouldn't
wont, won't
youve, you've
youll, you'll
cal, call
cuz, because
cos, because
cuzz, because
bcuz, because
dam, damn
nd, and
havnt, haven't
u, you
thx, thanks
tx, thanks
thks, thanks
tnx, thanks
thnx, thanks
wana, want to
wanna, want to
wanta, want to
w8, wait
w/, with
w/o, with out
w/e, whatever
wu, what's up
yea, yeah
yee, yes
ofa, of a
hbu, how about you
wuld, would
wud, would
wat, what
u're, you’re
ur, your
r, are
o, oh
sorta, sort of
np, no problem
gunna, going to
guna, going to
ill, I will
il, I will
n, in
id, I would
nvmd, nevermind
nm, nevermind
ddnt, didn't
dnt, dont
tel, tell
til, until
bs, bull shit
dum, dumb
ie, in other words
eg, example
wo, wow
ya, yeah
mt, mountain
st, street
ave, avenue
vs, versus
a+, great
a++, great
adr, address
addr, address
atty, address
ad, advertisement
ackin, acting
goda, got to
gotta, got to
dolla, dollar
dollas, dollars
fuk, fuck
fr, for
gotcha, got you
lyk, like
kk, okay
ok, okay
dont, don't
gud, good
sup, what's up
ment, meant
b, be
b4, before
4u, for you
4, for
l8r, later
l8, late
da, the
bf, boyfriend
gf, girlfriend
fb, facebook
d8, date
dnt, don't
ddnt, didn't
dsnt, doesn't
dznt, doesn't
eva, ever
hw, homework
k, okay
nvr, never
nething, anything
pic, picture
pict, picture
vid, video
vids, videos
pls, please
plz, please
prolly, probably
ppl, people
peeps, people
rly, really
skewl, school
sry, sorry
bout, about
tht, that
txt, text
y, why
v, very
c, see
2nite, tonight
2day, today
bac, back
bak, back
bot, robot
bc, because
tech, technology
coo, cool
wut, what
bbq, barbeque
kul, cool
cul, cool
kewl, cool
o, oh
gawd, god
pls, please
plz, please
justa, just a
naw, no
tha, the
hav, have
2, to
dey, they
dat, that
tht, that
@, at
ths, this
frm, from
fam, family
bt, but
wich, which
wch, which,
wich, which
wuld, would
thr, there
der, there
ther, there
till, until
anythin, anything
wen, when
mkay, okay
cn, can
tyme, time
tym, time
nto, into
n2, into
othr, other
cud, could
sum, some
som, some
giv, give
frst, first
evn, even
shud, should
thru, through
wrld, world
btwn, between
hnd, hand
vry, very
tll, tell
dwn, down
im, I'm
bcause, because
godamn, god damn
godamnit, god damnit
goddamn, god damn
goddamnit, god damnit
yeap, yep
thng, thing
thang, thang
exept, except
comming, coming
comin, coming
gotit, got it
das, thats
outta, out of
lil, little
thinkso, think so
dogg, dog
dawg, dog
sheit, shit
doin, doing
brotha, brother
sista, sister
dem, them
goin, going
tryna, trying to
aight, alright
nah, no
eben, even
eber, ever
ayo, hey
imma, I am going to
workin, working
asswell, as well
aswell, as well
whatchu, what are you
watchu, what are you
whachu, what are you
wha, what
eachother, each other
dayum, damn
goodluck, good luck
nite, night
wierd, weird
roomate, room mate
thinkso, think so
whas, what is
kindof, kind of
watchin, watching
runnin, running
feelin, feeling
thinkin, thinking
somethin, something
sayin, saying
gettin, getting
playin, playing
hangin, hanging
boutta, about to
makin, making
leavin, leaving
yall, you all
y'all, you all
yins, you all
hve, have
fuckin, fucking
alot, a lot
foreal, for real
whos, whose
cray, crazy
inda, in the
prolum, problem
errybody, everybody
talkin, talking
biotch, bitch
yano, do you know
lookin, looking
aweful, awful
howed, how did
mothafucka, mother fucker
motherfucker, mother fucker
dribe, drive
driben, driven
drice, drive
didja, did you
amd, and
gotchu, got you
inna, in a
in, a
drivin, driving
piture, picture
lense, lens
leavin, leaving
itl, it'll
tellin, telling
tryin, trying
betta, better
domt, don't
eatin, eating
probly, probably
nothin, nothing
mofucka, mother fucker
wassup, what's up
waitin, waiting
untill, until
reall, really
thingy, thing
takin, taking
herro, hello
onda, on the
suprise, surprise
suprised, surprised
readin, reading
outloud, out loud
needa, need to
lemi, let me
letta, let a
leta, let a
fucj, fuck
